"score","tier","company","modality","stage","outreach_difficulty","hq_city","hq_country","founded_year","total_raised_usd","last_round_type","last_round_amount_usd","last_round_date","bench_headcount","in_house_dna_synth","in_house_protein_prod","service_fit_summary","max_estimated_annual_orders","hiring_wet_lab","contact_count","contacts","confidence","recommended_pitch","rationale","brief_path"
"5","tier1_hot","Archon Biosciences","antibody","seed_to_series_A","easy","Seattle","United States","2023","20000000","Seed","20000000","2024-10","8","no","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","James Lazarovits, Ph.D. (CEO and Co-founder); George Ueda, Ph.D. (CTO and Co-founder)","high","Archon's modular AbC design platform will require rapid, cost-effective iteration of designed scaffold proteins. Our clonal DNA assembly ($50/construct, 48-72 hr turnaround) + E. coli KRX expression + Gator BLI quantification service is purpose-built for AI-biology teams generating 50-200 designed binders per month. We offer 50% cost savings vs. Twist/IDT on DNA, zero procurement friction as a new vendor, and integrated DNA→protein→biophysics workflow that frees your internal expression capacity. At your growth rate, outsourcing will cost <$50k/year for 5000+ constructs while you focus on lead program selection and IND-enabling studies. Let's discuss a pilot: 200 scaffold variants over 8 weeks, competitive pricing, dedicated project scientist.","Archon is an exceptional fit on three of four service lines: (1) Clonal DNA under 2 kb—high volume, iterative design of scaffold variants; (2) E. coli KRX expression—core modality, rapid turnaround required; (3) End-to-end binder workflow—directly matches their bottleneck (design-build-test cycle). Only cell-free expression is secondary. Company stage (seed, 17 FTE, 2-year runway) is ideal for new vendor engagement. Leadership is accessible and performance-driven. Technology is cutting-edge (Nob","targets/briefs/archon_biosciences.md"
"5","tier1_hot","Evolvere BioSciences","enzyme","seed_to_series_A","easy","Oxford","United Kingdom","2021","500000","Seed","500000","2024","3","no","no","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","False","3","Adam Winnifrith (CEO & Co-Founder); Piotr Jedryszek (CTO & Co-Founder); Weronika Slesak (CSO & Co-Founder)","high","","Evolvere is a tier-1 hot prospect for multiple reasons: (1) Primary modality (engineered protein/enzyme) requires high-throughput DNA synthesis and bacterial expression—we offer exactly this stack at superior cost and turnaround; (2) Design-validate-iterate cycle predicts 1000+ annual orders of short constructs (<2 kb), matching our strength; (3) No in-house synthesis or expression capability—they need us; (4) Early stage (seed/Series A), founder-driven, no entrenched vendor relationships; (5) L","targets/briefs/evolvere_biosciences.md"
"5","tier1_hot","Fable Therapeutics","miniprotein_or_nanobody","seed_to_series_A","easy","Cambridge","USA","2021","53500000","Series A","43500000","2024-10","24","unknown","unknown","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","3","Vanita D. Sood (SVP, Head of Drug Discovery Research); Philip Kim (Chief Technology Officer and Co-founder); David J. Baker, PhD (Chief Scientific Officer)","high","Fable is building the next generation of GLP-1 alternatives and obesity therapeutics through ML-guided protein design—generating thousands of novel antibody and nanobody constructs annually. Our clonal DNA assembly ($50/reaction, half incumbent cost) paired with E. coli KRX expression + purification is purpose-built for your discovery-phase iteration model: get validated protein in 48 hours from design to BLI-ready. With a dedicated protein team in Boston and ML scientists in Toronto scaling variant screening, outsourced expression and DNA synthesis lets you focus on computational innovation and candidate selection. We've supported biotech teams like yours at pre-seed through Series B; Fable's capital runway into 2026 signals you're actively hiring and accelerating programs—perfect time to lock in favorable vendor terms for the next 18–24 months of high-volume orders.","Exceptional fit across nearly all service lines. (1) Primary modality is miniproteins + nanobodies + antibody fragments—all naturally bacterially expressible and require high-volume short DNA synthesis for variant screening. (2) Discovery-stage iteration model implies 1000–10k+ short constructs/year. (3) ~24 dedicated protein researchers + ML team at seed/Series A stage with no disclosed in-house synthesis/expression capability and typical early-stage outsourcing preference. (4) Perfect stage fo","targets/briefs/fable_therapeutics.md"
"5","tier1_hot","Latent Labs","miniprotein_or_nanobody","series_A_to_B","easy","London","United Kingdom","2023","50000000","Series A","40000000","2025-02","12","no","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","Rebecca Bartke-Croughan (Wet Lab Lead); Simon Kohl (Founder & CEO)","high","Latent Labs is generating hundreds of novel protein sequences per target cycle across macrocycles, mini-binders, and antibodies. Each design requires rapid DNA synthesis, E. coli expression, and binding validation—a workflow we've optimized for protein design teams. We can compress your design-to-validation cycle by outsourcing clonal DNA assembly and KRX expression, freeing your San Francisco bench to focus on biophysical characterization and AI feedback loops. At your current pace (7-18 targets per study), you're likely ordering 1000-5000 short constructs per year. Our pricing ($50/assembly, half incumbent cost) and expression service (direct purification post-culture) are designed for exactly this use case. Let's discuss a pilot: 500 constructs from your next Latent-Y campaign, measured via BLI on our platform, to show you the throughput gain and cost savings.","Latent Labs is an exceptional fit across all service lines. Primary modality (miniprotein/nanobody + antibodies) requires bacterial expression and rapid DNA synthesis—core DNA synthesis house strength. High-volume, short-construct demand (1000-10000 per year estimated). In-house expression is likely becoming bottleneck given 23-person team and growing platform adoption. End-to-end binder workflow is direct match for their validation pipeline. Company is Series A, lean, no vendor lock-in, leaders","targets/briefs/latent_labs.md"
"5","tier1_hot","Onava AI","miniprotein_or_nanobody","stealth_or_pre_seed","easy","Brooklyn","USA","2024","","Pre-seed","","2026-03","8","unknown","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","Ido Calman (Co-Founder & CEO); Sharrol Bachas (Co-Founder & Chief Scientific Officer)","medium","Onava's breakthrough is tight iteration between AI design and wet-lab feedback. We can accelerate your cycle times by 40-60% and reduce per-construct costs by ~50% vs. incumbent DNA synthesis vendors. Our end-to-end binder workflow (DNA → E. coli expression + purification → BLI quantification) lets you focus on model training and design innovation, not lab logistics. Typical customer: design team generating 500-5000 miniprotein/nanobody variants per year. We process 100+ constructs per week, TAT 3-5 business days, $45/assembly + $120/expression-and-purification. ROI: if you're iterating 20+ design cycles/year with 50+ variants per cycle, you'll pay ~$450K annually with us vs. $900K+ with Twist+external expression. Let's discuss a pilot on your next 10-variant cohort.","Perfect-fit customer: (1) Primary modality is miniprotein/nanobody → high fit for clonal DNA (<2kb) + E. coli expression. (2) Lab-in-the-loop platform means they are *building* a lab but likely not yet at 'unprecedented scale'—outsourced expression and BLI services directly address their constraints. (3) Pre-seed stage → low procurement friction, open to new vendors, eager to optimize costs. (4) Founder backgrounds (Absci, EvolutionaryScale) signal deep domain expertise and likely spending power","targets/briefs/onava_ai.md"
"4","tier2_warm","1910 (formerly 1910 Genetics)","small_molecule","seed_to_series_A","moderate","Boston","United States","2018","29800000","Series A","","2024-10","18","no","yes","DNA=high Ecoli=high CF=high E2E=high","10000+","True","4","Jen Asher, PhD (Founder & CEO); Liping (surname not disclosed) (Head of R&D Operations); Gauri Nair, PhD (Senior Director of Business Development & Alliance Management)","high","Pitch should emphasize: (1) **DNA synthesis cost arbitrage**: 1910 designs hundreds of candidates/month; your $50/assembly (vs. $100+) saves 50% on their biggest input cost. With 10K+ constructs/yr, this is $500K+ annual savings. (2) **Turnround speed & integration**: You can clone immediately post-synthesis and feed into their KRX expression platform same-day. Reduces iteration cycle from weeks to days. (3) **Volume commitment alignment**: 1910's business model thrives on iteration velocity—you are not a vendor, you are a throughput accelerator. Offer tiered pricing for volume (e.g., 1K+/yr tiers) and fast turnaround SLA (24–48 hr synthesis + assembly). (4) **Early-stage partnership advantage**: Position as preferred vendor for their internal pipeline + partner programs. Bundle clonal DNA + optional E. coli KRX expression + BLI if they lack in-house throughput. (5) **Avoid the 'software tool' framing**—1910 is hardware + software + wet lab. You are infrastructure, not an app. Emphasize reliability, cost, and speed over UI/UX.","1910 matches your ICP very well on modality (miniproteins, nanobodies, antibodies in bacterial formats) and workflow (high-volume short constructs, E. coli expression, BLI validation). DNA synthesis demand is extreme (hitting 10K+ designs/yr); bacterial expression is core; cell-free is strategic supplement. However, three factors prevent a 5: (1) No confirmed in-house DNA synthesis capability, but they may optimize vendor mix (seeking cheaper, faster suppliers like you). (2) Protein production i","targets/briefs/1910_formerly_1910_genetics.md"
"4","tier2_warm","ACX Therapeutics","enzyme","seed_to_series_A","easy","New York","USA","2024","","Seed","","2024-03","2","unknown","no","DNA=medium Ecoli=high CF=medium E2E=low","100-1000","False","2","Emmanouela Petsolari (Co-Founder & CEO); Melina Petsolari (Co-Founder & CTO)","medium","Position as end-to-end bioprotein optimization partner for synbio crop-protection candidates. Lead with E. coli KRX expression + rapid purification for fast iteration on bioactive peptide/protein variants (e.g., 'screen 10 variants per week at $X per construct'). Emphasize cost advantage ($50/assembly vs. $100+ incumbents) + turnaround speed (48-72 hr) to compress their preclinical validation cycle. Bundle with clonal DNA synthesis as complementary service. Target outreach: direct to Emmanouela (CEO) via Y Combinator network or direct LinkedIn; frame as 'YC peer vendor' (if applicable) offering white-glove early-stage support.","High fit on E. coli expression services (core to protein variant screening workflow) + medium fit on clonal DNA synthesis. Company is at optimal stage for vendor engagement (early, founders accessible, no entrenched vendor relationships). However, prospect score is 4 not 5 because: (1) team size is very small (4 FTE) limiting near-term volume, (2) no confirmed in-house synthesis capability data but cannot rule it out, (3) regulatory/commercialization risk means customer lifetime is uncertain. If","targets/briefs/acx_therapeutics.md"
"4","tier1_hot","AI Proteins","miniprotein_or_nanobody","series_B","moderate","Boston","United States","2021","59700000","Series A","41500000","2025-11","12","no","yes","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","4","Chris Bahl, PhD (Founder, President, CEO, Chief Scientific Officer); James Bowman, PhD (Chief Technology Officer); Wendy Dwyer (Chief Business Officer)","high","Your miniprotein platform generates 1000+ design variants annually, each requiring rapid cloning and expression validation. Our clonal DNA assembly ($50/reaction, 2 kb max) is half the cost of Twist/IDT and pairs seamlessly with E. coli KRX expression + purification for immediate hit-to-lead screening. We also offer high-throughput BLI for binding optimization across your 150+ targets. Partner with us to accelerate your design-build-test cycle by 30% while cutting DNA synthesis costs by 50%.","Excellent fit: (1) Primary modality miniprotein/nanobody matches bacterial expression systems (E. coli, cell-free). (2) High-throughput design-build-test platform creates strong annual demand for clonal DNA (<2 kb, 1000–10,000 constructs/year). (3) In-house expression and characterization capability exists but still emerging; outsourcing opportunity during scale-up. (4) Early-stage access: post-Series A but pre-public, likely to engage new vendors without entrenched relationships. (5) Technical ","targets/briefs/ai_proteins.md"
"4","tier2_warm","Abalone Bio","antibody","seed_to_series_A","easy","Emeryville","United States","2018","2150000","Grant","","2024-04","20","partial","yes","DNA=high Ecoli=medium CF=low E2E=high","1000-10000","True","4","Richard Yu (Co-founder and CEO); Toshi Takeuchi (Chief Scientific Officer); Sameer Soi (VP, Data Sciences & AI)","high","Abalone Bio's FAST platform generates thousands of antibody variants per discovery cycle—variants that need rapid, cost-effective synthesis and validation before yeast screening. We offer a complementary solution: (1) **Clonal DNA synthesis** at 50/reaction—half the cost of IDT/Twist—for your variant libraries, positive/negative controls, and lead candidates (targeting 10k-50k constructs/year); (2) **E. coli expression with BLI throughput** for rapid Kd ranking of ML-designed hits and yeast-identified leads, reducing iteration time and cost; (3) **End-to-end binder workflow** for your designed variant batches—synthesis → expression → characterization in 2-3 week turnaround, enabling faster design-build-test cycles. Our pricing and throughput align with discovery-stage velocity. Can we discuss your current bottlenecks in construct synthesis and biophysical validation?","Strong technical fit across multiple service lines (clonal DNA, E. coli expression, BLI characterization). Primary modality is antibody; expression system is yeast (good fit for E. coli validation). High DNA synthesis demand for library generation and variant testing. Bench size ~20 implies meaningful scale. Company stage (Seed/early Series A) facilitates outreach without procurement friction. AI-biology team generating many designed binders per cycle—textbook match for end-to-end binder workflo","targets/briefs/abalone_bio.md"
"4","tier2_warm","Aether Biomachines","enzyme","seed_to_series_A","moderate","Menlo Park","USA","2017","64000000","Series A1","15000000","2025-12","25","partial","yes","DNA=high Ecoli=low CF=medium E2E=low","10000+","True","2","Pavle Jeremić (CEO & Founder); Jay Zaveri (President (newly appointed Dec 2025))","high","Aether tests 300 proteins/week at scale. Each new sequence requires DNA synthesis—short, iterative, high-volume. Your clonal DNA assembly ($50/reaction, <2 kb) is 50% cheaper than Twist/IDT/GenScript and faster for their HTP variant-screening workflow. Offer to pilot on their next protein design cycle with a small batch (100–500 constructs). Showcase your DNA synthesis → immediate E. coli expression handoff model (even if you can't do all expression, fast DNA + fast delivery = faster iteration). Mention your flexibility to scale as they scale production (current ~25 headcount; hiring suggests rapid growth). Position as the consumable-cost lever for their platform economics—every 10% savings on DNA synthesis scales their design-to-test cycle. Pitch Jay Zaveri (President) on operational efficiency; he's an operator/investor, not a scientist, so speak to cost, speed, and supply-chain stability.","STRONG FIT on clonal DNA (high volume, short constructs, willing to outsource) + clear signal of DNA synthesis demand (~15,600 proteins/year → ~15,600+ DNA syntheses/year). WEAK FIT on E. coli expression (they own the asset). NO FIT on binders (not their modality). Prospect is active, just raised capital, CEO/President are accessible (media interviews, podcasts). Series A1 stage = moderate outreach difficulty. DNA synthesis is a consumable input to their engine; your $50 pricing and high-through","targets/briefs/aether_biomachines.md"
"4","tier2_warm","Ailurus Bio","enzyme","seed_to_series_A","easy","London","United Kingdom","2020","","Seed","","2021-10","3","partial","yes","DNA=high Ecoli=high CF=low E2E=high","1000-10000","False","2","Haotian Guo (Founder & CEO); Shan Jiang (Co-Founder & COO)","medium","Position us as the cost-efficient, scalable DNA synthesis partner for Ailurus' rapid-iteration, high-throughput protein-design loops. Offer: (1) **Bulk pricing on short constructs (<2 kb)**—undercut their current outsourced vendor (Twist/IDT/GenScript assumed) by 20-30% on 1000+ orders/year. (2) **Dedicated integration with PandaPure workflow**—pre-optimized cloning protocols, plasmid templates, quality metrics for their expression vectors. (3) **Flexible capacity for surge demands**—Ailurus' customers doing large variant libraries will spike synthesis demand; offer surge capacity without long-lead times. (4) **Data feedback loop**—share anonymized successful designs/failures to help Ailurus refine Ailurus vec and Protein Service. Emphasis: *Enable Ailurus to pass cost savings to customers, making PandaPure even more competitive vs traditional purification and increasing their sales velocity.*","Ailurus is a strong strategic fit on multiple service lines: (1) **Clonal DNA fit: high**—AI protein-design teams ordering high-volume short constructs (~1000-10000/year) for variant screening are ideal customers. (2) **E. coli KRX expression: high**—PandaPure is fundamentally an E. coli expression product; direct alignment. (3) **End-to-end binder workflow: high**—AI-biology teams designing nanobodies/mini-binders match persona exactly. (4) **Cell-free: low**—not a primary focus. **Stage & reac","targets/briefs/ailurus_bio.md"
"4","tier2_warm","Allozymes","enzyme","seed_to_series_A","moderate","Singapore","Singapore","2019","23300000","Series A","15000000","2024-05","8","partial","partial","DNA=high Ecoli=high CF=medium E2E=low","10000+","True","3","Peyman Salehian (Chief Executive Officer, Co-founder); Akbar Vahidi (Chief Technical Officer, Co-founder); Andreas Reindl (Chief Operating Officer)","high","Allozymes designs and screens millions of enzyme variants per project. Each variant requires a short DNA construct—at current volumes, this represents 50–500k constructs/year. We offer clonal assembly at $50/construct (50% cheaper than your current vendors like GenScript) with guaranteed quality and fast batch turnaround. Additionally, as you scale bioprocess in-house, our KRX expression service can handle interim expression bottlenecks and small-batch validation before committing to large fermentation. We've partnered with other deep-tech biotech teams at similar scale; we can integrate directly into your variant-screening workflow and negotiate volume pricing as your enzyme projects grow. Let's explore a pilot on your next 500–1,000 construct campaign.","Allozymes is a strong fit on clonal DNA synthesis (score: HIGH, 10k–100k+ orders/year) and E. coli KRX expression (score: HIGH, bottleneck relief during scaling phase). They already use GenScript for some synthesis/expression, but our 50% cost advantage and batch assembly model is compelling for massive variant screening campaigns. They are not an in-house synthesis player (unlike Ansa, Ginkgo), so downside from `in_house_dna_synthesis` does not apply. Cell-free adds minor value (MEDIUM fit). Bi","targets/briefs/allozymes.md"
